"COVID-19 doses (daily, no outliers)",Daily new confirmed deaths due to COVID-19 (no outliers)
2859.0,345007.36
4015.0,665371.3
6868.0,98573.53000000001
383.0,0.0
9447.0,0.0
36587.0,24643.381999999998
14800.0,24643.381999999998
3316.0,24643.381999999998
0.0,212954.97999999998
0.0,194978.27000000002
0.0,223326.16
0.0,262736.68
0.0,186681.32
0.0,218486.28
0.0,167321.77000000002
0.0,289010.35000000003
0.0,237154.41
0.0,262736.68
0.0,264810.9
0.0,228857.46000000002
0.0,250291.26
0.0,230931.69999999998
0.0,278639.14
0.0,235771.58000000002
0.0,255131.12999999998
0.0,381659.57
0.0,265502.30000000005
0.0,233005.94
0.0,284861.86000000004
0.0,359534.38
0.0,428675.62
0.0,378202.52999999997
0.0,366448.52
0.0,295924.45
0.0,303529.98
0.0,375436.87
0.0,499199.66
0.0,493668.38
0.0,479148.72
0.0,461171.98
0.0,351928.86
0.0,427292.8
0.0,472234.58
0.0,572489.4
0.0,761244.9
0.0,468086.12
0.0,631950.8
500.0,485371.4
500.0,422452.9
500.0,496434.0
500.0,736354.0499999999
1000.0,778530.24
1000.0,728748.5599999999
3000.0,636790.7000000001
1325.3334,472926.0
1325.3334,415538.8
1325.3334,511645.1
2187.0,826929.1
1863.5,652001.7999999999
1863.5,695560.75
1463.0,681732.54
768.0,547598.5399999999
987.1667,443886.7
3071.738,430749.86
3123.738,699709.24
3440.738,787518.5599999999
47330.74,613974.1
46684.74,587700.4
44098.695,407933.24
82179.695,359534.38
65305.375,358842.97
58805.375,595997.4
50984.707,499199.66
64171.707,376819.69999999995
63390.707,398253.47
51316.375,374054.04
51316.375,246834.19
74726.375,304221.39999999997
141538.38,496434.0
119925.375,378893.94
265830.88,367139.9
285481.88,380968.15
167375.88,239228.65
167375.88,206732.27
209955.16,311826.94
190469.16,317358.23000000004
169325.19,286936.10000000003
149640.19,327729.43
136385.33,275182.1
95673.32,201892.39
101546.82,236463.0
137374.83,205349.44999999998
332461.3,330495.06
313843.3,248217.0
277596.3,229548.87
219342.33,237845.82
142717.33,239228.65
148404.33,158333.40000000002
224247.34,225400.4
233985.34,268959.37
208947.34,214337.81
227943.53,229548.87
263867.75,212263.57
162401.66,179075.78
144364.5,154876.35
232746.92,217103.45
331748.97,209497.91
274066.75,221943.35
395013.5,188064.13999999998
379899.16,185989.90000000002
224939.77,177001.55000000002
278753.94,192212.61000000002
319415.12,196361.1
276357.12,228166.06
242601.97,283479.03
248449.17,180458.6
196667.17,403093.37
163217.17,140356.69
162934.67,138282.46
216929.4,188064.13999999998
450140.7,225400.4
419073.7,257896.78
365014.03,246142.77000000002
290997.9,197743.91
244175.95,137591.05
256019.78,129985.51
337855.62,212263.57
338073.97,192904.03
356489.53,228166.06
258209.94,172161.65
236712.12,188064.13999999998
211545.86,128602.68
209615.77,190138.37
277641.25,155567.77
288316.78,180458.6
346379.53,241994.29
284251.7,195669.68000000002
280388.75,196361.1
227666.33,165247.53
247341.33,201200.98
253143.36,190829.78
287735.62,192904.03
273199.22,284170.45
294535.53,208806.51
284749.6,223326.16
218146.08,223326.16
223782.69,186681.32
242221.16,165938.94
265582.22,277256.3
230605.72,277947.72000000003
228435.84,200509.56
217051.73,235771.58000000002
207257.33,169396.01
216141.1,207423.69
319880.25,202583.80000000002
422551.25,244068.53
268836.72,291775.97
224178.98,184607.07
206185.44,190829.78
207571.95,201892.39
248962.61,170087.43000000002
415276.84,188755.56
362291.84,247525.6
325177.78,237154.41
514150.392825,218486.28
